event_id,case_id,account_id,session_id,content_id,target_id,timestamp,event_type,channel,model_surface,action,raw_risk_score,pattern_id,ground_truth_case_label
EVT-0000093,C-001,A-0002,S-00003,CT-000059,TGT-001,2026-07-05T07:34:00+00:00,post,chat,moderation_queue,submitted,0.99,P04,True Positive - Credible High Risk
EVT-0000094,C-001,A-0006,S-00021,,TGT-001,2026-07-03T06:42:00+00:00,search,reporting,moderation_queue,updated,0.768,P11,True Positive - Credible High Risk
EVT-0000095,C-001,A-0002,S-00006,,,2026-07-02T05:47:00+00:00,profile_update,account,account_layer,submitted,0.623,P07,True Positive - Credible High Risk
EVT-0000096,C-001,A-0007,S-00024,CT-000060,TGT-001,2026-07-02T02:04:00+00:00,post,reporting,api,viewed,0.872,P04,True Positive - Credible High Risk
EVT-0000097,C-001,A-0005,S-00016,CT-000061,TGT-001,2026-07-01T15:08:00+00:00,post,search,moderation_queue,viewed,0.99,P03,True Positive - Credible High Risk
EVT-0000098,C-001,A-0002,S-00005,,,2026-07-04T07:09:00+00:00,profile_update,reporting,moderation_queue,viewed,0.899,P03,True Positive - Credible High Risk
EVT-0000099,C-001,A-0002,S-00006,CT-000062,TGT-001,2026-07-01T13:51:00+00:00,post,search,account_layer,created,0.683,P03,True Positive - Credible High Risk
EVT-0000100,C-001,A-0007,S-00024,CT-000063,TGT-001,2026-07-04T11:19:00+00:00,post,system,moderation_queue,created,0.72,P03,True Positive - Credible High Risk
EVT-0000101,C-001,A-0006,S-00021,CT-000064,TGT-001,2026-07-02T07:12:00+00:00,post,search,chat,updated,0.98,P04,True Positive - Credible High Risk
EVT-0000102,C-001,A-0004,S-00013,CT-000065,TGT-001,2026-07-01T22:36:00+00:00,post,search,api,submitted,0.859,P03,True Positive - Credible High Risk
EVT-0000103,C-001,A-0003,S-00009,CT-000066,TGT-001,2026-07-04T22:56:00+00:00,report,reporting,api,submitted,0.833,P04,True Positive - Credible High Risk
EVT-0000104,C-001,A-0004,S-00013,,TGT-001,2026-07-05T07:00:00+00:00,search,reporting,api,created,0.716,P04,True Positive - Credible High Risk
EVT-0000105,C-001,A-0005,S-00017,CT-000067,TGT-001,2026-07-05T00:09:00+00:00,post,search,account_layer,submitted,0.68,,True Positive - Credible High Risk
EVT-0000106,C-001,A-0006,S-00021,,,2026-07-01T16:17:00+00:00,profile_update,chat,account_layer,updated,0.623,P04,True Positive - Credible High Risk
EVT-0000107,C-001,A-0001,S-00001,CT-000068,TGT-001,2026-07-03T00:28:00+00:00,message,search,account_layer,created,0.99,P07,True Positive - Credible High Risk
EVT-0000108,C-001,A-0005,S-00018,CT-000069,TGT-001,2026-07-04T06:13:00+00:00,post,reporting,chat,created,0.976,,True Positive - Credible High Risk
EVT-0000109,C-001,A-0006,S-00020,CT-000070,TGT-001,2026-07-02T06:33:00+00:00,report,search,api,shared,0.886,P07,True Positive - Credible High Risk
EVT-0000110,C-001,A-0008,S-00029,,TGT-001,2026-07-05T08:10:00+00:00,search,search,api,viewed,0.679,P11,True Positive - Credible High Risk
EVT-0000111,C-001,A-0005,S-00019,,TGT-001,2026-07-03T22:19:00+00:00,search,system,chat,updated,0.587,P07,True Positive - Credible High Risk
EVT-0000112,C-001,A-0002,S-00005,,,2026-07-04T01:08:00+00:00,login,account,chat,viewed,0.839,P07,True Positive - Credible High Risk
EVT-0000113,C-001,A-0006,S-00021,,,2026-07-03T21:16:00+00:00,login,system,moderation_queue,viewed,0.622,,True Positive - Credible High Risk
EVT-0000114,C-001,A-0005,S-00018,CT-000071,TGT-001,2026-07-01T10:07:00+00:00,message,search,api,submitted,0.662,P03,True Positive - Credible High Risk
EVT-0000115,C-001,A-0008,S-00028,CT-000072,TGT-001,2026-07-02T01:18:00+00:00,post,account,moderation_queue,viewed,0.825,,True Positive - Credible High Risk
EVT-0000116,C-001,A-0003,S-00010,CT-000073,TGT-001,2026-07-03T04:16:00+00:00,post,account,api,viewed,0.956,P03,True Positive - Credible High Risk
EVT-0000117,C-001,A-0004,S-00012,CT-000074,TGT-001,2026-07-02T15:46:00+00:00,post,reporting,account_layer,created,0.99,P07,True Positive - Credible High Risk
EVT-0000118,C-001,A-0007,S-00023,CT-000075,TGT-001,2026-07-03T08:16:00+00:00,post,system,api,created,0.953,P04,True Positive - Credible High Risk
EVT-0000119,C-001,A-0008,S-00028,CT-000076,TGT-001,2026-07-04T00:40:00+00:00,post,system,moderation_queue,created,0.661,P04,True Positive - Credible High Risk
EVT-0000120,C-001,A-0002,S-00003,CT-000077,TGT-001,2026-07-05T03:21:00+00:00,post,reporting,chat,viewed,0.854,P03,True Positive - Credible High Risk
EVT-0000121,C-001,A-0007,S-00025,CT-000078,TGT-001,2026-07-04T19:25:00+00:00,post,system,account_layer,created,0.874,P11,True Positive - Credible High Risk
EVT-0000122,C-001,A-0004,S-00014,CT-000079,TGT-001,2026-07-02T14:53:00+00:00,post,chat,account_layer,created,0.909,,True Positive - Credible High Risk
EVT-0000123,C-001,A-0002,S-00004,CT-000080,TGT-001,2026-07-02T09:09:00+00:00,post,system,api,updated,0.671,P04,True Positive - Credible High Risk
EVT-0000124,C-001,A-0001,S-00002,CT-000081,TGT-001,2026-07-02T18:04:00+00:00,post,reporting,chat,shared,0.779,,True Positive - Credible High Risk
EVT-0000125,C-001,A-0007,S-00023,,TGT-001,2026-07-03T11:59:00+00:00,search,account,account_layer,shared,0.855,P07,True Positive - Credible High Risk
EVT-0000126,C-001,A-0001,S-00002,CT-000082,TGT-001,2026-07-04T07:14:00+00:00,post,system,moderation_queue,viewed,0.718,P11,True Positive - Credible High Risk
EVT-0000127,C-001,A-0006,S-00020,,TGT-001,2026-07-03T07:27:00+00:00,profile_update,reporting,moderation_queue,created,0.684,P07,True Positive - Credible High Risk
EVT-0000128,C-001,A-0001,S-00002,CT-000083,TGT-001,2026-07-03T08:48:00+00:00,report,account,moderation_queue,viewed,0.754,,True Positive - Credible High Risk
EVT-0000129,C-001,A-0003,S-00008,CT-000084,TGT-001,2026-07-04T07:41:00+00:00,post,search,api,viewed,0.888,P11,True Positive - Credible High Risk
EVT-0000130,C-001,A-0001,S-00001,CT-000085,TGT-001,2026-07-03T00:04:00+00:00,report,system,chat,updated,0.851,P03,True Positive - Credible High Risk
EVT-0000131,C-001,A-0002,S-00003,CT-000086,TGT-001,2026-07-03T18:00:00+00:00,post,chat,account_layer,created,0.816,P07,True Positive - Credible High Risk
EVT-0000132,C-001,A-0008,S-00029,CT-000087,TGT-001,2026-07-02T13:45:00+00:00,post,system,account_layer,created,0.984,,True Positive - Credible High Risk
EVT-0000133,C-001,A-0001,S-00002,CT-000088,TGT-001,2026-07-02T06:35:00+00:00,post,reporting,api,viewed,0.986,P07,True Positive - Credible High Risk
EVT-0000134,C-001,A-0002,S-00003,,TGT-001,2026-07-04T07:10:00+00:00,search,system,moderation_queue,viewed,0.859,P11,True Positive - Credible High Risk
EVT-0000135,C-001,A-0003,S-00011,CT-000089,TGT-001,2026-07-02T13:52:00+00:00,message,account,api,updated,0.955,P04,True Positive - Credible High Risk
EVT-0000136,C-001,A-0001,S-00001,,,2026-07-02T07:46:00+00:00,login,search,chat,shared,0.829,P07,True Positive - Credible High Risk
EVT-0000137,C-001,A-0003,S-00010,CT-000090,TGT-001,2026-07-03T09:56:00+00:00,message,system,chat,viewed,0.856,P07,True Positive - Credible High Risk
EVT-0000138,C-001,A-0004,S-00014,,,2026-07-03T04:19:00+00:00,profile_update,search,account_layer,submitted,0.889,,True Positive - Credible High Risk
EVT-0000139,C-001,A-0006,S-00021,CT-000091,TGT-001,2026-07-05T05:35:00+00:00,post,search,api,shared,0.751,P11,True Positive - Credible High Risk
EVT-0000140,C-001,A-0008,S-00027,CT-000092,TGT-001,2026-07-01T15:47:00+00:00,post,reporting,chat,viewed,0.657,P11,True Positive - Credible High Risk
EVT-0000141,C-001,A-0004,S-00014,CT-000093,TGT-001,2026-07-01T11:56:00+00:00,post,reporting,moderation_queue,created,0.879,P03,True Positive - Credible High Risk
EVT-0000142,C-001,A-0001,S-00002,,,2026-07-01T13:58:00+00:00,login,search,account_layer,viewed,0.917,,True Positive - Credible High Risk
EVT-0000143,C-001,A-0007,S-00023,CT-000094,TGT-001,2026-07-02T08:53:00+00:00,post,account,api,created,0.785,P07,True Positive - Credible High Risk
EVT-0000144,C-001,A-0002,S-00003,CT-000095,TGT-001,2026-07-03T16:04:00+00:00,message,search,api,submitted,0.676,,True Positive - Credible High Risk
EVT-0000145,C-001,A-0008,S-00028,CT-000096,TGT-001,2026-07-03T13:12:00+00:00,post,search,chat,updated,0.675,P03,True Positive - Credible High Risk
EVT-0000146,C-001,A-0007,S-00022,CT-000097,TGT-001,2026-07-02T17:39:00+00:00,message,chat,chat,shared,0.99,P07,True Positive - Credible High Risk
EVT-0000147,C-001,A-0006,S-00020,,TGT-001,2026-07-01T14:16:00+00:00,profile_update,search,account_layer,submitted,0.797,,True Positive - Credible High Risk
EVT-0000148,C-001,A-0003,S-00009,CT-000098,TGT-001,2026-07-04T00:22:00+00:00,post,account,chat,viewed,0.911,P04,True Positive - Credible High Risk
EVT-0000149,C-001,A-0006,S-00021,,TGT-001,2026-07-05T08:21:00+00:00,search,account,chat,viewed,0.798,,True Positive - Credible High Risk
EVT-0000150,C-001,A-0002,S-00006,CT-000099,TGT-001,2026-07-02T07:33:00+00:00,message,system,moderation_queue,viewed,0.99,P07,True Positive - Credible High Risk
EVT-0000151,C-001,A-0002,S-00006,,,2026-07-02T12:04:00+00:00,profile_update,chat,account_layer,shared,0.917,P07,True Positive - Credible High Risk
EVT-0000152,C-001,A-0006,S-00021,CT-000100,TGT-001,2026-07-02T09:08:00+00:00,post,chat,api,viewed,0.782,P04,True Positive - Credible High Risk
EVT-0000153,C-001,A-0004,S-00012,CT-000101,TGT-001,2026-07-01T08:18:00+00:00,post,system,api,shared,0.99,P07,True Positive - Credible High Risk
EVT-0000154,C-001,A-0007,S-00025,CT-000102,TGT-001,2026-07-02T19:17:00+00:00,message,chat,account_layer,created,0.972,P07,True Positive - Credible High Risk
EVT-0000155,C-001,A-0005,S-00018,,TGT-001,2026-07-04T21:36:00+00:00,search,reporting,api,created,0.66,,True Positive - Credible High Risk
EVT-0000156,C-001,A-0007,S-00022,CT-000103,TGT-001,2026-07-04T12:38:00+00:00,post,search,moderation_queue,submitted,0.82,P11,True Positive - Credible High Risk
EVT-0000157,C-001,A-0007,S-00025,CT-000104,TGT-001,2026-07-04T15:50:00+00:00,post,system,api,updated,0.871,P04,True Positive - Credible High Risk
EVT-0000158,C-001,A-0004,S-00014,,TGT-001,2026-07-04T15:10:00+00:00,search,account,chat,updated,0.794,,True Positive - Credible High Risk
EVT-0000159,C-001,A-0007,S-00022,CT-000105,TGT-001,2026-07-03T02:29:00+00:00,post,chat,moderation_queue,updated,0.71,,True Positive - Credible High Risk
EVT-0000160,C-001,A-0008,S-00028,CT-000106,TGT-001,2026-07-03T16:54:00+00:00,report,search,chat,submitted,0.683,P11,True Positive - Credible High Risk
EVT-0000161,C-001,A-0005,S-00017,CT-000107,TGT-001,2026-07-03T21:27:00+00:00,message,account,chat,created,0.99,P04,True Positive - Credible High Risk
EVT-0000162,C-001,A-0005,S-00019,,,2026-07-02T11:19:00+00:00,migration_signal,account,moderation_queue,viewed,0.66,P11,True Positive - Credible High Risk
EVT-0000163,C-001,A-0007,S-00025,CT-000108,TGT-001,2026-07-02T16:18:00+00:00,post,chat,account_layer,shared,0.777,P07,True Positive - Credible High Risk
EVT-0000164,C-001,A-0007,S-00025,CT-000109,TGT-001,2026-07-04T00:48:00+00:00,post,chat,moderation_queue,submitted,0.641,,True Positive - Credible High Risk
EVT-0000165,C-001,A-0006,S-00021,CT-000110,TGT-001,2026-07-03T12:39:00+00:00,post,account,chat,updated,0.71,P04,True Positive - Credible High Risk
EVT-0000166,C-001,A-0003,S-00010,CT-000111,TGT-001,2026-07-04T01:39:00+00:00,post,system,api,updated,0.817,,True Positive - Credible High Risk
EVT-0000167,C-001,A-0007,S-00022,CT-000112,TGT-001,2026-07-01T18:28:00+00:00,post,chat,moderation_queue,shared,0.99,P11,True Positive - Credible High Risk
EVT-0000168,C-001,A-0001,S-00002,CT-000113,TGT-001,2026-07-03T06:44:00+00:00,post,chat,api,submitted,0.695,P11,True Positive - Credible High Risk
EVT-0000169,C-001,A-0007,S-00024,,TGT-001,2026-07-05T07:23:00+00:00,search,system,chat,viewed,0.642,P07,True Positive - Credible High Risk
EVT-0000170,C-001,A-0002,S-00004,CT-000114,TGT-001,2026-07-04T04:47:00+00:00,post,system,account_layer,submitted,0.963,P11,True Positive - Credible High Risk
EVT-0000171,C-001,A-0005,S-00015,,,2026-07-02T18:37:00+00:00,login,search,api,created,0.838,P07,True Positive - Credible High Risk
EVT-0000172,C-001,A-0002,S-00003,CT-000115,TGT-001,2026-07-04T17:18:00+00:00,post,account,chat,viewed,0.766,P07,True Positive - Credible High Risk
