action_id,case_id,account_id,event_id,report_source,triage_minutes,action_type,rationale,reviewer,action_timestamp,human_validated
ACT-00035,C-008,A-0101,EVT-0002212,automated_signal,39,Restriction and Escalation,Synthetic ground-truth guided decision with human review,Analyst-Synthetic,2026-07-16T10:00:00+00:00,Yes
ACT-00036,C-008,A-0102,EVT-0002204,automated_signal,32,Restriction and Escalation,Synthetic ground-truth guided decision with human review,Analyst-Synthetic,2026-07-16T11:00:00+00:00,Yes
ACT-00037,C-009,A-0120,EVT-0002540,automated_signal,50,Restriction and Escalation,Synthetic ground-truth guided decision with human review,Analyst-Synthetic,2026-07-18T08:00:00+00:00,Yes
ACT-00038,C-009,A-0119,EVT-0002500,analyst_lead,24,Restriction and Escalation,Synthetic ground-truth guided decision with human review,Analyst-Synthetic,2026-07-18T09:00:00+00:00,Yes
ACT-00039,C-009,A-0130,EVT-0002402,automated_signal,29,Restriction and Escalation,Synthetic ground-truth guided decision with human review,Analyst-Synthetic,2026-07-18T10:00:00+00:00,Yes
ACT-00040,C-009,A-0125,EVT-0002638,analyst_lead,15,Restriction and Escalation,Synthetic ground-truth guided decision with human review,Analyst-Synthetic,2026-07-18T11:00:00+00:00,Yes
ACT-00041,C-009,A-0121,EVT-0002349,partner_escalation,12,Restriction and Escalation,Synthetic ground-truth guided decision with human review,Analyst-Synthetic,2026-07-18T12:00:00+00:00,Yes
ACT-00042,C-009,A-0112,EVT-0002677,analyst_lead,19,Restriction and Escalation,Synthetic ground-truth guided decision with human review,Analyst-Synthetic,2026-07-18T13:00:00+00:00,Yes
ACT-00043,C-009,A-0133,EVT-0002400,automated_signal,31,Restriction and Escalation,Synthetic ground-truth guided decision with human review,Analyst-Synthetic,2026-07-18T14:00:00+00:00,Yes
ACT-00044,C-009,A-0133,EVT-0002355,automated_signal,35,Restriction and Escalation,Synthetic ground-truth guided decision with human review,Analyst-Synthetic,2026-07-18T15:00:00+00:00,Yes
ACT-00045,C-009,A-0130,EVT-0002282,automated_signal,37,Restriction and Escalation,Synthetic ground-truth guided decision with human review,Analyst-Synthetic,2026-07-18T16:00:00+00:00,Yes
ACT-00046,C-010,A-0158,EVT-0002788,automated_signal,21,No Action,Synthetic ground-truth guided decision with human review,Analyst-Synthetic,2026-07-20T08:00:00+00:00,Yes
ACT-00047,C-010,A-0148,EVT-0002867,partner_escalation,21,No Action,Synthetic ground-truth guided decision with human review,Analyst-Synthetic,2026-07-20T09:00:00+00:00,Yes
ACT-00048,C-010,A-0157,EVT-0002899,user_report,42,No Action,Synthetic ground-truth guided decision with human review,Analyst-Synthetic,2026-07-20T10:00:00+00:00,Yes
ACT-00049,C-010,A-0143,EVT-0002762,user_report,32,No Action,Synthetic ground-truth guided decision with human review,Analyst-Synthetic,2026-07-20T11:00:00+00:00,Yes
ACT-00050,C-010,A-0141,EVT-0002740,partner_escalation,29,No Action,Synthetic ground-truth guided decision with human review,Analyst-Synthetic,2026-07-20T12:00:00+00:00,Yes
ACT-00051,C-010,A-0157,EVT-0002852,analyst_lead,46,No Action,Synthetic ground-truth guided decision with human review,Analyst-Synthetic,2026-07-20T13:00:00+00:00,Yes
