account_id,created_at,geo_region,language,account_age_days,prior_enforcement,risk_tier,role,synthetic_persona
A-0024,2026-06-26T15:00:00+00:00,US-South,es,4,No,Medium,amplifier,persona_002_16
A-0025,2026-06-28T00:00:00+00:00,US-Midwest,en,3,No,Medium,researcher,persona_002_17
A-0026,2026-06-28T09:00:00+00:00,US-West,ar,2,No,Medium,intimidator,persona_002_18
A-0027,2026-06-25T21:00:00+00:00,US-Midwest,en,5,Yes,Medium,replacement_account,persona_003_01
A-0028,2026-06-27T04:00:00+00:00,US-Northeast,es,4,Yes,Medium,amplifier,persona_003_02
A-0029,2026-06-25T06:00:00+00:00,US-South,en,6,No,Medium,replacement_account,persona_003_03
A-0030,2026-06-25T02:00:00+00:00,US-Northeast,es,6,No,Medium,infrastructure_helper,persona_003_04
A-0031,2026-06-26T12:00:00+00:00,EU-West,es,4,No,Medium,amplifier,persona_003_05
A-0032,2026-06-26T01:00:00+00:00,US-Northeast,es,5,No,Medium,infrastructure_helper,persona_003_06
A-0033,2026-06-24T21:00:00+00:00,US-Northeast,en,6,No,Medium,replacement_account,persona_003_07
A-0034,2026-06-27T06:00:00+00:00,EU-West,es,4,No,Medium,infrastructure_helper,persona_003_08
A-0035,2026-06-25T06:00:00+00:00,US-Midwest,en,6,No,Medium,controller,persona_003_09
A-0036,2026-05-31T07:00:00+00:00,US-West,de,31,No,High,scout,persona_004_01
A-0037,2026-06-16T02:00:00+00:00,APAC,en,15,No,High,recruiter,persona_004_02
A-0038,2026-05-26T09:00:00+00:00,US-Midwest,ar,35,No,High,observer,persona_004_03
A-0039,2026-06-16T15:00:00+00:00,US-Midwest,ar,14,No,High,migrator,persona_004_04
A-0040,2026-05-26T22:00:00+00:00,US-Midwest,es,35,No,Medium,scout,persona_004_05
A-0041,2026-06-20T00:00:00+00:00,EU-West,en,11,No,Medium,scout,persona_004_06
A-0042,2026-05-22T06:00:00+00:00,US-Northeast,de,40,No,Medium,amplifier,persona_004_07
A-0043,2026-06-04T19:00:00+00:00,US-Midwest,es,26,No,Medium,scout,persona_004_08
A-0044,2026-06-17T10:00:00+00:00,APAC,ar,13,No,Medium,scout,persona_004_09
A-0045,2026-05-23T06:00:00+00:00,EU-West,ar,39,No,Medium,observer,persona_004_10
A-0046,2026-06-05T12:00:00+00:00,US-South,ar,25,No,Medium,amplifier,persona_004_11
A-0047,2026-06-05T05:00:00+00:00,US-West,de,26,No,Medium,scout,persona_004_12
A-0048,2026-05-30T18:00:00+00:00,US-South,en,31,No,Medium,amplifier,persona_005_01
A-0049,2026-05-20T12:00:00+00:00,US-Northeast,en,41,No,Medium,escalating_actor,persona_005_02
A-0050,2026-05-29T23:00:00+00:00,US-Midwest,en,32,No,Medium,copycat,persona_005_03
A-0051,2026-05-18T07:00:00+00:00,APAC,en,44,No,Medium,amplifier,persona_005_04
A-0052,2026-06-23T19:00:00+00:00,EU-West,en,7,No,Medium,observer,persona_005_05
A-0053,2026-06-30T04:00:00+00:00,US-South,es,1,No,Medium,escalating_actor,persona_005_06
A-0054,2026-06-07T22:00:00+00:00,US-West,en,23,No,Medium,amplifier,persona_005_07
A-0055,2026-06-27T18:00:00+00:00,APAC,es,3,No,Medium,escalating_actor,persona_005_08
A-0056,2026-06-04T17:00:00+00:00,EU-West,en,26,No,Medium,escalating_actor,persona_005_09
A-0057,2026-06-12T11:00:00+00:00,US-Northeast,es,18,No,Medium,observer,persona_005_10
A-0058,2026-06-24T03:00:00+00:00,US-Northeast,es,7,No,Medium,originator,persona_005_11
A-0059,2026-06-06T06:00:00+00:00,US-South,es,25,No,Medium,originator,persona_005_12
A-0060,2026-06-20T06:00:00+00:00,US-West,es,11,No,Medium,observer,persona_005_13
A-0061,2026-05-25T11:00:00+00:00,US-Midwest,en,36,No,Medium,originator,persona_005_14
A-0062,2026-06-14T19:00:00+00:00,US-South,en,16,No,Medium,observer,persona_005_15
A-0063,2026-06-27T14:00:00+00:00,EU-West,es,3,No,Medium,amplifier,persona_005_16
A-0064,2026-06-11T15:00:00+00:00,US-Northeast,es,19,No,Medium,amplifier,persona_005_17
A-0065,2026-05-18T17:00:00+00:00,US-South,en,43,No,Medium,observer,persona_005_18
A-0066,2026-05-26T09:00:00+00:00,US-West,en,35,No,Medium,escalating_actor,persona_005_19
A-0067,2026-05-28T00:00:00+00:00,APAC,en,34,No,Medium,observer,persona_005_20
A-0068,2026-06-27T13:00:00+00:00,US-Midwest,en,3,No,Medium,observer,persona_005_21
A-0069,2026-06-08T03:00:00+00:00,EU-West,en,23,No,Medium,copycat,persona_005_22
A-0070,2026-06-26T11:00:00+00:00,US-Midwest,es,4,No,Medium,originator,persona_005_23
A-0071,2026-06-04T02:00:00+00:00,APAC,en,27,No,Medium,observer,persona_005_24
A-0072,2026-06-20T14:00:00+00:00,EU-West,en,10,No,Medium,intimidator,persona_006_01
A-0073,2026-06-21T03:00:00+00:00,APAC,en,10,No,Medium,amplifier,persona_006_02
A-0074,2026-06-20T15:00:00+00:00,US-Midwest,es,10,No,Medium,coordinator,persona_006_03
A-0075,2026-06-19T21:00:00+00:00,US-Midwest,es,11,No,Medium,researcher,persona_006_04
A-0076,2026-06-21T08:00:00+00:00,US-Midwest,en,10,No,Medium,coordinator,persona_006_05
A-0077,2026-06-21T06:00:00+00:00,US-South,es,10,No,Medium,amplifier,persona_006_06
A-0078,2026-06-20T02:00:00+00:00,APAC,es,11,No,Medium,amplifier,persona_006_07
A-0079,2026-06-20T09:00:00+00:00,US-Midwest,en,10,No,Medium,coordinator,persona_006_08
A-0080,2026-06-20T05:00:00+00:00,US-Northeast,es,11,No,Medium,coordinator,persona_006_09
A-0081,2026-06-19T22:00:00+00:00,EU-West,en,11,No,Medium,coordinator,persona_006_10
A-0082,2026-06-20T11:00:00+00:00,US-Northeast,en,10,No,Medium,intimidator,persona_006_11
A-0083,2026-06-21T02:00:00+00:00,APAC,en,10,No,Medium,amplifier,persona_006_12
A-0084,2026-06-21T01:00:00+00:00,US-Midwest,es,10,No,Medium,amplifier,persona_006_13
A-0085,2026-06-20T18:00:00+00:00,US-West,es,10,No,Medium,amplifier,persona_006_14
A-0086,2026-06-21T01:00:00+00:00,APAC,en,10,No,Medium,amplifier,persona_006_15
A-0087,2026-05-16T20:00:00+00:00,US-South,en,45,No,Medium,originator,persona_007_01
A-0088,2026-05-19T18:00:00+00:00,US-South,es,42,No,Medium,amplifier,persona_007_02
A-0089,2026-06-18T17:00:00+00:00,US-Northeast,es,12,No,Medium,amplifier,persona_007_03
A-0090,2026-06-05T03:00:00+00:00,US-Northeast,en,26,No,Medium,amplifier,persona_007_04
A-0091,2026-05-23T19:00:00+00:00,US-Northeast,en,38,No,Medium,observer,persona_007_05
A-0092,2026-05-30T10:00:00+00:00,US-Northeast,en,31,No,Medium,escalating_actor,persona_007_06
A-0093,2026-06-20T04:00:00+00:00,US-Northeast,en,11,No,Medium,copycat,persona_007_07
A-0094,2026-05-29T08:00:00+00:00,EU-West,es,33,No,Medium,observer,persona_007_08
A-0095,2026-06-08T15:00:00+00:00,US-Northeast,es,22,No,Medium,observer,persona_007_09
A-0096,2026-06-03T08:00:00+00:00,US-West,en,28,No,Medium,copycat,persona_007_10
A-0097,2026-06-02T04:00:00+00:00,EU-West,en,29,No,Medium,amplifier,persona_007_11
A-0098,2026-06-28T03:00:00+00:00,US-South,es,3,Yes,Medium,intimidator,persona_008_01
A-0099,2026-06-05T22:00:00+00:00,APAC,es,25,Yes,Medium,intimidator,persona_008_02
A-0100,2026-05-23T11:00:00+00:00,US-West,en,38,Yes,Medium,intimidator,persona_008_03
A-0101,2026-06-23T02:00:00+00:00,US-West,es,8,No,Medium,reporter,persona_008_04
A-0102,2026-06-05T07:00:00+00:00,US-West,en,26,No,Medium,researcher,persona_008_05
A-0103,2026-06-30T03:00:00+00:00,EU-West,en,1,No,Medium,reporter,persona_008_06
A-0104,2026-06-14T20:00:00+00:00,EU-West,en,16,No,Medium,reporter,persona_008_07
A-0105,2026-05-21T06:00:00+00:00,US-South,es,41,No,Medium,intimidator,persona_008_08
A-0106,2026-06-18T08:00:00+00:00,EU-West,en,13,No,Medium,reporter,persona_008_09
A-0107,2026-06-22T07:00:00+00:00,EU-West,en,9,No,Medium,intimidator,persona_008_10
A-0108,2026-06-24T04:00:00+00:00,APAC,es,7,No,Medium,intimidator,persona_008_11
A-0109,2026-05-26T20:00:00+00:00,EU-West,en,35,No,Medium,intimidator,persona_008_12
A-0110,2026-06-08T13:00:00+00:00,US-West,es,22,No,Medium,intimidator,persona_008_13
A-0111,2026-06-24T13:00:00+00:00,US-West,en,6,No,Medium,intimidator,persona_008_14
A-0112,2026-05-19T14:00:00+00:00,APAC,ar,42,Yes,High,controller,persona_009_01
A-0113,2026-06-24T01:00:00+00:00,US-Midwest,de,7,Yes,High,replacement_account,persona_009_02
A-0114,2026-05-26T18:00:00+00:00,EU-West,de,35,Yes,High,amplifier,persona_009_03
A-0115,2026-05-26T13:00:00+00:00,US-West,es,35,Yes,High,amplifier,persona_009_04
A-0116,2026-05-24T16:00:00+00:00,APAC,ar,37,Yes,High,controller,persona_009_05
A-0117,2026-05-17T23:00:00+00:00,US-West,de,44,Yes,High,controller,persona_009_06
A-0118,2026-06-16T00:00:00+00:00,US-West,ar,15,No,High,amplifier,persona_009_07
A-0119,2026-06-27T06:00:00+00:00,US-Northeast,de,4,No,High,amplifier,persona_009_08
A-0120,2026-06-28T05:00:00+00:00,US-Northeast,es,3,No,High,replacement_account,persona_009_09
A-0121,2026-05-29T03:00:00+00:00,APAC,ar,33,No,Medium,amplifier,persona_009_10
A-0122,2026-05-31T04:00:00+00:00,US-Midwest,es,31,No,Medium,infrastructure_helper,persona_009_11
A-0123,2026-05-21T07:00:00+00:00,US-West,de,41,No,Medium,amplifier,persona_009_12
A-0124,2026-06-17T21:00:00+00:00,APAC,fr,13,No,Medium,infrastructure_helper,persona_009_13
A-0125,2026-06-13T12:00:00+00:00,US-South,de,17,No,Medium,infrastructure_helper,persona_009_14
A-0126,2026-06-02T08:00:00+00:00,APAC,es,29,No,Medium,controller,persona_009_15
A-0127,2026-06-12T20:00:00+00:00,APAC,de,18,No,Medium,replacement_account,persona_009_16
A-0128,2026-06-30T13:00:00+00:00,US-Midwest,en,0,No,Medium,infrastructure_helper,persona_009_17
A-0129,2026-06-27T13:00:00+00:00,US-South,ar,3,No,Medium,replacement_account,persona_009_18
A-0130,2026-06-19T06:00:00+00:00,APAC,en,12,No,Medium,amplifier,persona_009_19
A-0131,2026-05-27T16:00:00+00:00,US-South,fr,34,No,Medium,replacement_account,persona_009_20
A-0132,2026-05-28T00:00:00+00:00,US-Northeast,de,34,No,Medium,controller,persona_009_21
A-0133,2026-06-02T16:00:00+00:00,APAC,fr,28,No,Medium,amplifier,persona_009_22
A-0134,2026-06-10T11:00:00+00:00,US-Midwest,fr,20,No,Medium,infrastructure_helper,persona_009_23
A-0135,2026-06-18T16:00:00+00:00,US-South,ar,12,No,Medium,infrastructure_helper,persona_009_24
A-0136,2026-06-17T17:00:00+00:00,EU-West,es,13,No,Medium,controller,persona_009_25
A-0137,2026-05-17T23:00:00+00:00,US-Northeast,de,44,No,Medium,controller,persona_009_26
A-0138,2026-06-30T16:00:00+00:00,US-West,es,0,No,Medium,replacement_account,persona_009_27
A-0139,2026-06-12T21:00:00+00:00,US-South,en,18,No,Low,volunteer,persona_010_01
A-0140,2026-06-12T08:00:00+00:00,US-West,en,19,No,Low,organizer,persona_010_02
A-0141,2026-06-11T01:00:00+00:00,US-South,en,20,No,Low,volunteer,persona_010_03
A-0142,2026-06-12T15:00:00+00:00,US-Midwest,en,18,No,Low,participant,persona_010_04
A-0143,2026-06-10T09:00:00+00:00,US-Midwest,en,20,No,Low,organizer,persona_010_05
A-0144,2026-06-11T03:00:00+00:00,US-West,es,20,No,Low,participant,persona_010_06
A-0145,2026-06-12T03:00:00+00:00,US-South,es,19,No,Low,participant,persona_010_07
A-0146,2026-06-10T20:00:00+00:00,US-Northeast,en,20,No,Low,organizer,persona_010_08
A-0147,2026-06-11T19:00:00+00:00,APAC,en,19,No,Low,volunteer,persona_010_09
A-0148,2026-06-12T20:00:00+00:00,US-Midwest,es,18,No,Low,volunteer,persona_010_10
A-0149,2026-06-12T20:00:00+00:00,US-Midwest,es,18,No,Low,volunteer,persona_010_11
A-0150,2026-06-12T03:00:00+00:00,US-Midwest,es,19,No,Low,logistics_helper,persona_010_12
A-0151,2026-06-11T15:00:00+00:00,US-West,es,19,No,Low,logistics_helper,persona_010_13
A-0152,2026-06-10T10:00:00+00:00,US-Midwest,es,20,No,Low,participant,persona_010_14
A-0153,2026-06-11T23:00:00+00:00,US-Northeast,en,19,No,Low,volunteer,persona_010_15
A-0154,2026-06-10T09:00:00+00:00,US-West,es,20,No,Low,logistics_helper,persona_010_16
A-0155,2026-06-11T11:00:00+00:00,US-Midwest,en,19,No,Low,volunteer,persona_010_17
A-0156,2026-06-11T00:00:00+00:00,US-Midwest,es,20,No,Low,organizer,persona_010_18
A-0157,2026-06-10T23:00:00+00:00,US-South,es,20,No,Low,participant,persona_010_19
A-0158,2026-06-11T02:00:00+00:00,US-Midwest,en,20,No,Low,organizer,persona_010_20
