session_id,account_id,device_id,ip_cluster_id,login_time,logout_time,geo_region,network_type,user_agent_family
S-00017,A-0005,DEV-002,IPC-99,2026-07-03T00:32:00+00:00,2026-07-03T03:05:00+00:00,US-Midwest,mobile,chrome
S-00018,A-0005,DEV-002,IPC-40,2026-07-03T20:28:00+00:00,2026-07-03T21:15:00+00:00,US-Midwest,mobile,mobile_app
S-00019,A-0005,DEV-002,IPC-20,2026-07-02T06:00:00+00:00,2026-07-02T07:01:00+00:00,US-Midwest,datacenter,chrome
S-00020,A-0006,DEV-001,IPC-95,2026-07-02T18:39:00+00:00,2026-07-02T20:41:00+00:00,APAC,residential,mobile_app
S-00021,A-0006,DEV-001,IPC-34,2026-07-01T18:10:00+00:00,2026-07-01T19:19:00+00:00,APAC,residential,chrome
S-00022,A-0007,DEV-003,IPC-89,2026-07-04T05:47:00+00:00,2026-07-04T07:49:00+00:00,US-Northeast,residential,firefox
S-00023,A-0007,DEV-003,IPC-31,2026-07-02T00:01:00+00:00,2026-07-02T01:48:00+00:00,US-Northeast,datacenter,safari
S-00024,A-0007,DEV-003,IPC-47,2026-07-01T20:43:00+00:00,2026-07-01T23:37:00+00:00,US-Northeast,residential,safari
S-00025,A-0007,DEV-003,IPC-85,2026-07-03T10:27:00+00:00,2026-07-03T12:53:00+00:00,US-Northeast,public_wifi,chrome
S-00026,A-0007,DEV-003,IPC-31,2026-07-03T07:36:00+00:00,2026-07-03T08:49:00+00:00,US-Northeast,public_wifi,chrome
S-00027,A-0008,DEV-002,IPC-87,2026-07-02T05:05:00+00:00,2026-07-02T07:17:00+00:00,US-South,public_wifi,firefox
S-00028,A-0008,DEV-002,IPC-23,2026-07-03T11:58:00+00:00,2026-07-03T12:29:00+00:00,US-South,mobile,chrome
S-00029,A-0008,DEV-002,IPC-20,2026-07-02T06:39:00+00:00,2026-07-02T08:15:00+00:00,US-South,residential,safari
S-00030,A-0009,DEV-006,IPC-X02,2026-07-04T07:46:00+00:00,2026-07-04T09:59:00+00:00,US-Northeast,public_wifi,chrome
S-00031,A-0009,DEV-006,IPC-X02,2026-07-05T08:00:00+00:00,2026-07-05T10:40:00+00:00,US-Northeast,public_wifi,safari
S-00032,A-0009,DEV-006,IPC-X02,2026-07-05T09:33:00+00:00,2026-07-05T09:38:00+00:00,US-Northeast,public_wifi,firefox
S-00033,A-0009,DEV-006,IPC-X02,2026-07-04T09:52:00+00:00,2026-07-04T11:47:00+00:00,US-Northeast,public_wifi,safari
S-00034,A-0009,DEV-006,IPC-X02,2026-07-04T01:51:00+00:00,2026-07-04T02:35:00+00:00,US-Northeast,datacenter,firefox
S-00035,A-0010,DEV-006,IPC-X02,2026-07-04T00:25:00+00:00,2026-07-04T01:41:00+00:00,US-Northeast,mobile,mobile_app
S-00036,A-0010,DEV-X04,IPC-X02,2026-07-05T20:09:00+00:00,2026-07-05T22:27:00+00:00,US-Northeast,public_wifi,mobile_app
S-00037,A-0010,DEV-006,IPC-X02,2026-07-03T20:05:00+00:00,2026-07-03T22:06:00+00:00,US-Northeast,residential,safari
S-00038,A-0011,DEV-X03,IPC-X02,2026-07-03T21:34:00+00:00,2026-07-03T23:29:00+00:00,US-Northeast,datacenter,mobile_app
S-00039,A-0011,DEV-X03,IPC-X02,2026-07-04T02:03:00+00:00,2026-07-04T03:47:00+00:00,US-Northeast,mobile,firefox
S-00040,A-0012,DEV-X04,IPC-X02,2026-07-03T18:05:00+00:00,2026-07-03T18:10:00+00:00,US-South,datacenter,safari
S-00041,A-0012,DEV-006,IPC-X02,2026-07-05T19:10:00+00:00,2026-07-05T19:29:00+00:00,US-South,residential,safari
S-00042,A-0012,DEV-006,IPC-X02,2026-07-05T13:19:00+00:00,2026-07-05T13:38:00+00:00,US-South,residential,safari
S-00043,A-0012,DEV-006,IPC-X02,2026-07-05T11:04:00+00:00,2026-07-05T12:46:00+00:00,US-South,datacenter,firefox
S-00044,A-0012,DEV-X04,IPC-X02,2026-07-04T01:12:00+00:00,2026-07-04T03:11:00+00:00,US-South,datacenter,firefox
S-00045,A-0013,DEV-005,IPC-87,2026-07-04T15:19:00+00:00,2026-07-04T16:26:00+00:00,US-Midwest,residential,chrome
S-00046,A-0013,DEV-005,IPC-87,2026-07-05T22:26:00+00:00,2026-07-05T22:49:00+00:00,US-Midwest,datacenter,safari
S-00047,A-0013,DEV-005,IPC-70,2026-07-04T00:57:00+00:00,2026-07-04T02:25:00+00:00,US-Midwest,public_wifi,chrome
S-00048,A-0013,DEV-005,IPC-66,2026-07-03T12:27:00+00:00,2026-07-03T13:51:00+00:00,US-Midwest,residential,safari
S-00049,A-0013,DEV-005,IPC-86,2026-07-04T19:53:00+00:00,2026-07-04T20:19:00+00:00,US-Midwest,datacenter,mobile_app
S-00050,A-0014,DEV-005,IPC-14,2026-07-04T20:08:00+00:00,2026-07-04T22:54:00+00:00,EU-West,residential,safari
S-00051,A-0014,DEV-005,IPC-85,2026-07-03T13:04:00+00:00,2026-07-03T13:09:00+00:00,EU-West,public_wifi,mobile_app
S-00052,A-0014,DEV-005,IPC-58,2026-07-06T08:31:00+00:00,2026-07-06T10:11:00+00:00,EU-West,residential,mobile_app
S-00053,A-0015,DEV-004,IPC-53,2026-07-05T13:39:00+00:00,2026-07-05T15:00:00+00:00,US-Northeast,mobile,safari
S-00054,A-0015,DEV-004,IPC-69,2026-07-04T05:54:00+00:00,2026-07-04T08:00:00+00:00,US-Northeast,residential,mobile_app
S-00055,A-0015,DEV-004,IPC-97,2026-07-05T04:28:00+00:00,2026-07-05T05:12:00+00:00,US-Northeast,datacenter,chrome
S-00056,A-0015,DEV-004,IPC-73,2026-07-05T11:54:00+00:00,2026-07-05T14:34:00+00:00,US-Northeast,datacenter,mobile_app
S-00057,A-0015,DEV-004,IPC-45,2026-07-04T04:27:00+00:00,2026-07-04T07:15:00+00:00,US-Northeast,datacenter,mobile_app
S-00058,A-0016,DEV-007,IPC-48,2026-07-04T09:34:00+00:00,2026-07-04T10:18:00+00:00,EU-West,datacenter,mobile_app
S-00059,A-0016,DEV-007,IPC-16,2026-07-04T14:34:00+00:00,2026-07-04T15:26:00+00:00,EU-West,datacenter,firefox
S-00060,A-0017,DEV-004,IPC-86,2026-07-05T06:42:00+00:00,2026-07-05T07:20:00+00:00,US-Northeast,public_wifi,chrome
S-00061,A-0017,DEV-004,IPC-29,2026-07-06T03:16:00+00:00,2026-07-06T05:59:00+00:00,US-Northeast,residential,safari
S-00062,A-0018,DEV-005,IPC-72,2026-07-05T16:32:00+00:00,2026-07-05T17:47:00+00:00,US-West,residential,safari
S-00063,A-0018,DEV-005,IPC-70,2026-07-05T08:48:00+00:00,2026-07-05T09:39:00+00:00,US-West,datacenter,chrome
S-00064,A-0018,DEV-005,IPC-42,2026-07-05T23:22:00+00:00,2026-07-05T23:41:00+00:00,US-West,datacenter,mobile_app
S-00065,A-0018,DEV-005,IPC-95,2026-07-05T18:56:00+00:00,2026-07-05T21:53:00+00:00,US-West,residential,safari
S-00066,A-0018,DEV-005,IPC-93,2026-07-03T18:03:00+00:00,2026-07-03T18:50:00+00:00,US-West,mobile,safari
S-00067,A-0019,DEV-004,IPC-11,2026-07-03T14:44:00+00:00,2026-07-03T17:29:00+00:00,EU-West,residential,chrome
S-00068,A-0019,DEV-004,IPC-80,2026-07-04T15:45:00+00:00,2026-07-04T17:27:00+00:00,EU-West,datacenter,chrome
S-00069,A-0019,DEV-004,IPC-65,2026-07-06T08:37:00+00:00,2026-07-06T09:44:00+00:00,EU-West,residential,chrome
S-00070,A-0019,DEV-004,IPC-75,2026-07-05T18:27:00+00:00,2026-07-05T21:15:00+00:00,EU-West,public_wifi,chrome
S-00071,A-0020,DEV-007,IPC-83,2026-07-05T10:04:00+00:00,2026-07-05T10:58:00+00:00,US-Midwest,datacenter,chrome
S-00072,A-0020,DEV-007,IPC-63,2026-07-05T14:00:00+00:00,2026-07-05T16:25:00+00:00,US-Midwest,residential,chrome
S-00073,A-0020,DEV-007,IPC-84,2026-07-05T05:57:00+00:00,2026-07-05T08:03:00+00:00,US-Midwest,public_wifi,mobile_app
S-00074,A-0021,DEV-004,IPC-94,2026-07-05T17:30:00+00:00,2026-07-05T18:00:00+00:00,EU-West,datacenter,chrome
S-00075,A-0021,DEV-004,IPC-19,2026-07-05T22:41:00+00:00,2026-07-05T23:50:00+00:00,EU-West,public_wifi,chrome
S-00076,A-0021,DEV-004,IPC-23,2026-07-03T18:21:00+00:00,2026-07-03T19:19:00+00:00,EU-West,datacenter,chrome
S-00077,A-0021,DEV-004,IPC-28,2026-07-05T14:22:00+00:00,2026-07-05T15:46:00+00:00,EU-West,datacenter,chrome
S-00078,A-0022,DEV-006,IPC-10,2026-07-04T19:55:00+00:00,2026-07-04T22:08:00+00:00,US-South,residential,chrome
S-00079,A-0022,DEV-006,IPC-25,2026-07-04T22:51:00+00:00,2026-07-05T01:41:00+00:00,US-South,residential,mobile_app
S-00080,A-0022,DEV-006,IPC-81,2026-07-04T01:06:00+00:00,2026-07-04T03:26:00+00:00,US-South,public_wifi,chrome
S-00081,A-0022,DEV-006,IPC-70,2026-07-05T09:36:00+00:00,2026-07-05T09:47:00+00:00,US-South,public_wifi,mobile_app
S-00082,A-0023,DEV-006,IPC-50,2026-07-03T18:13:00+00:00,2026-07-03T18:53:00+00:00,US-West,datacenter,mobile_app
S-00083,A-0023,DEV-006,IPC-31,2026-07-04T03:17:00+00:00,2026-07-04T04:37:00+00:00,US-West,residential,firefox
S-00084,A-0024,DEV-006,IPC-37,2026-07-04T01:44:00+00:00,2026-07-04T03:55:00+00:00,US-South,mobile,chrome
S-00085,A-0024,DEV-006,IPC-61,2026-07-06T01:10:00+00:00,2026-07-06T02:41:00+00:00,US-South,public_wifi,mobile_app
S-00086,A-0025,DEV-004,IPC-66,2026-07-05T12:37:00+00:00,2026-07-05T13:23:00+00:00,US-Midwest,residential,safari
S-00087,A-0025,DEV-004,IPC-80,2026-07-05T17:19:00+00:00,2026-07-05T19:59:00+00:00,US-Midwest,datacenter,firefox
S-00088,A-0026,DEV-005,IPC-51,2026-07-05T11:47:00+00:00,2026-07-05T12:26:00+00:00,US-West,mobile,mobile_app
S-00089,A-0026,DEV-005,IPC-32,2026-07-03T08:43:00+00:00,2026-07-03T10:49:00+00:00,US-West,residential,chrome
S-00090,A-0026,DEV-005,IPC-47,2026-07-05T09:12:00+00:00,2026-07-05T11:52:00+00:00,US-West,datacenter,mobile_app
S-00091,A-0026,DEV-005,IPC-22,2026-07-06T02:01:00+00:00,2026-07-06T05:00:00+00:00,US-West,datacenter,safari
S-00092,A-0026,DEV-005,IPC-51,2026-07-05T05:27:00+00:00,2026-07-05T07:10:00+00:00,US-West,public_wifi,firefox
S-00093,A-0027,DEV-008,IPC-X03,2026-07-06T23:13:00+00:00,2026-07-07T00:50:00+00:00,US-Midwest,datacenter,safari
S-00094,A-0027,DEV-X05,IPC-X03,2026-07-08T01:41:00+00:00,2026-07-08T04:19:00+00:00,US-Midwest,residential,firefox
S-00095,A-0027,DEV-008,IPC-X03,2026-07-07T10:48:00+00:00,2026-07-07T12:43:00+00:00,US-Midwest,datacenter,mobile_app
S-00096,A-0027,DEV-008,IPC-X03,2026-07-08T00:33:00+00:00,2026-07-08T03:07:00+00:00,US-Midwest,residential,chrome
S-00097,A-0027,DEV-X05,IPC-X03,2026-07-06T11:22:00+00:00,2026-07-06T12:08:00+00:00,US-Midwest,mobile,firefox
S-00098,A-0028,DEV-010,IPC-X03,2026-07-06T12:25:00+00:00,2026-07-06T15:20:00+00:00,US-Northeast,datacenter,chrome
S-00099,A-0028,DEV-X06,IPC-X03,2026-07-07T23:34:00+00:00,2026-07-08T01:32:00+00:00,US-Northeast,datacenter,mobile_app
S-00100,A-0028,DEV-010,IPC-X03,2026-07-07T23:34:00+00:00,2026-07-08T01:52:00+00:00,US-Northeast,public_wifi,firefox
S-00101,A-0028,DEV-X06,IPC-X03,2026-07-08T05:19:00+00:00,2026-07-08T07:34:00+00:00,US-Northeast,mobile,firefox
S-00102,A-0029,DEV-008,IPC-X03,2026-07-08T04:43:00+00:00,2026-07-08T07:12:00+00:00,US-South,mobile,safari
S-00103,A-0029,DEV-008,IPC-X03,2026-07-06T11:19:00+00:00,2026-07-06T13:05:00+00:00,US-South,datacenter,firefox
S-00104,A-0029,DEV-X05,IPC-X03,2026-07-08T07:11:00+00:00,2026-07-08T08:40:00+00:00,US-South,public_wifi,safari
S-00105,A-0030,DEV-009,IPC-X03,2026-07-05T13:15:00+00:00,2026-07-05T15:37:00+00:00,US-Northeast,public_wifi,firefox
S-00106,A-0030,DEV-009,IPC-X03,2026-07-06T04:23:00+00:00,2026-07-06T05:29:00+00:00,US-Northeast,residential,mobile_app
S-00107,A-0031,DEV-008,IPC-X03,2026-07-07T10:03:00+00:00,2026-07-07T12:30:00+00:00,EU-West,public_wifi,mobile_app
S-00108,A-0031,DEV-008,IPC-X03,2026-07-08T01:29:00+00:00,2026-07-08T03:37:00+00:00,EU-West,public_wifi,safari
S-00109,A-0031,DEV-008,IPC-X03,2026-07-05T22:36:00+00:00,2026-07-06T01:13:00+00:00,EU-West,residential,chrome
S-00110,A-0032,DEV-009,IPC-X03,2026-07-06T08:20:00+00:00,2026-07-06T09:15:00+00:00,US-Northeast,public_wifi,chrome
S-00111,A-0032,DEV-009,IPC-X03,2026-07-07T12:37:00+00:00,2026-07-07T14:01:00+00:00,US-Northeast,mobile,mobile_app
S-00112,A-0032,DEV-009,IPC-X03,2026-07-06T08:59:00+00:00,2026-07-06T10:04:00+00:00,US-Northeast,residential,safari
S-00113,A-0032,DEV-009,IPC-X03,2026-07-07T02:24:00+00:00,2026-07-07T03:17:00+00:00,US-Northeast,public_wifi,mobile_app
S-00114,A-0032,DEV-009,IPC-X03,2026-07-05T19:24:00+00:00,2026-07-05T20:02:00+00:00,US-Northeast,mobile,chrome
S-00115,A-0033,DEV-008,IPC-X03,2026-07-06T09:11:00+00:00,2026-07-06T10:56:00+00:00,US-Northeast,public_wifi,chrome
S-00116,A-0033,DEV-008,IPC-X03,2026-07-05T11:09:00+00:00,2026-07-05T13:28:00+00:00,US-Northeast,public_wifi,safari
S-00117,A-0034,DEV-008,IPC-X03,2026-07-06T02:15:00+00:00,2026-07-06T03:27:00+00:00,EU-West,public_wifi,firefox
S-00118,A-0034,DEV-008,IPC-X03,2026-07-08T03:38:00+00:00,2026-07-08T06:29:00+00:00,EU-West,datacenter,safari
S-00119,A-0034,DEV-008,IPC-X03,2026-07-06T08:49:00+00:00,2026-07-06T08:54:00+00:00,EU-West,public_wifi,firefox
S-00120,A-0034,DEV-008,IPC-X03,2026-07-05T15:24:00+00:00,2026-07-05T17:16:00+00:00,EU-West,mobile,safari
S-00121,A-0035,DEV-009,IPC-X03,2026-07-05T15:15:00+00:00,2026-07-05T18:02:00+00:00,US-Midwest,mobile,chrome
S-00122,A-0035,DEV-009,IPC-X03,2026-07-06T04:15:00+00:00,2026-07-06T05:08:00+00:00,US-Midwest,datacenter,firefox
S-00123,A-0036,DEV-013,IPC-X03,2026-07-08T17:53:00+00:00,2026-07-08T19:02:00+00:00,US-West,datacenter,safari
S-00124,A-0036,DEV-X06,IPC-X03,2026-07-07T16:15:00+00:00,2026-07-07T17:00:00+00:00,US-West,public_wifi,mobile_app
S-00125,A-0036,DEV-013,IPC-X03,2026-07-07T16:57:00+00:00,2026-07-07T19:14:00+00:00,US-West,public_wifi,mobile_app
S-00126,A-0036,DEV-X06,IPC-X03,2026-07-09T17:42:00+00:00,2026-07-09T19:30:00+00:00,US-West,residential,mobile_app
S-00127,A-0036,DEV-013,IPC-X03,2026-07-08T09:32:00+00:00,2026-07-08T10:54:00+00:00,US-West,datacenter,chrome
S-00128,A-0037,DEV-013,IPC-X03,2026-07-07T22:55:00+00:00,2026-07-07T23:10:00+00:00,APAC,public_wifi,safari
S-00129,A-0037,DEV-013,IPC-X03,2026-07-07T12:48:00+00:00,2026-07-07T13:19:00+00:00,APAC,datacenter,safari
S-00130,A-0037,DEV-X07,IPC-X03,2026-07-08T04:37:00+00:00,2026-07-08T06:47:00+00:00,APAC,public_wifi,firefox
S-00131,A-0037,DEV-X07,IPC-X03,2026-07-10T05:05:00+00:00,2026-07-10T05:31:00+00:00,APAC,public_wifi,mobile_app
S-00132,A-0038,DEV-011,IPC-X03,2026-07-09T20:39:00+00:00,2026-07-09T20:49:00+00:00,US-Midwest,datacenter,chrome
S-00133,A-0038,DEV-011,IPC-X03,2026-07-09T02:22:00+00:00,2026-07-09T05:08:00+00:00,US-Midwest,residential,mobile_app
S-00134,A-0038,DEV-X06,IPC-X03,2026-07-10T06:41:00+00:00,2026-07-10T07:50:00+00:00,US-Midwest,datacenter,chrome
S-00135,A-0038,DEV-X06,IPC-X03,2026-07-08T13:42:00+00:00,2026-07-08T16:05:00+00:00,US-Midwest,datacenter,firefox
S-00136,A-0039,DEV-013,IPC-X03,2026-07-09T12:18:00+00:00,2026-07-09T13:51:00+00:00,US-Midwest,residential,chrome
S-00137,A-0039,DEV-013,IPC-X03,2026-07-07T19:13:00+00:00,2026-07-07T21:27:00+00:00,US-Midwest,mobile,chrome
S-00138,A-0039,DEV-X07,IPC-X03,2026-07-09T14:06:00+00:00,2026-07-09T15:49:00+00:00,US-Midwest,datacenter,safari
S-00139,A-0039,DEV-X07,IPC-X03,2026-07-08T23:05:00+00:00,2026-07-09T00:45:00+00:00,US-Midwest,datacenter,safari
S-00140,A-0040,DEV-012,IPC-44,2026-07-09T03:30:00+00:00,2026-07-09T04:07:00+00:00,US-Midwest,residential,safari
S-00141,A-0040,DEV-012,IPC-36,2026-07-09T11:45:00+00:00,2026-07-09T13:43:00+00:00,US-Midwest,datacenter,firefox
S-00142,A-0040,DEV-012,IPC-61,2026-07-08T01:20:00+00:00,2026-07-08T03:51:00+00:00,US-Midwest,public_wifi,firefox
S-00143,A-0040,DEV-012,IPC-79,2026-07-08T09:47:00+00:00,2026-07-08T10:28:00+00:00,US-Midwest,datacenter,chrome
S-00144,A-0040,DEV-012,IPC-22,2026-07-09T03:22:00+00:00,2026-07-09T05:55:00+00:00,US-Midwest,mobile,mobile_app
S-00145,A-0041,DEV-012,IPC-64,2026-07-09T10:23:00+00:00,2026-07-09T13:11:00+00:00,EU-West,residential,firefox
S-00146,A-0041,DEV-012,IPC-56,2026-07-09T01:41:00+00:00,2026-07-09T03:41:00+00:00,EU-West,residential,chrome
S-00147,A-0041,DEV-012,IPC-74,2026-07-07T14:35:00+00:00,2026-07-07T15:39:00+00:00,EU-West,public_wifi,firefox
S-00148,A-0041,DEV-012,IPC-73,2026-07-08T19:16:00+00:00,2026-07-08T19:52:00+00:00,EU-West,mobile,safari
S-00149,A-0041,DEV-012,IPC-84,2026-07-09T10:46:00+00:00,2026-07-09T11:24:00+00:00,EU-West,mobile,safari
S-00150,A-0042,DEV-011,IPC-60,2026-07-07T20:40:00+00:00,2026-07-07T22:37:00+00:00,US-Northeast,residential,mobile_app
S-00151,A-0042,DEV-011,IPC-33,2026-07-08T06:02:00+00:00,2026-07-08T08:54:00+00:00,US-Northeast,public_wifi,chrome
S-00152,A-0042,DEV-011,IPC-15,2026-07-07T09:07:00+00:00,2026-07-07T11:44:00+00:00,US-Northeast,datacenter,firefox
S-00153,A-0042,DEV-011,IPC-22,2026-07-08T02:16:00+00:00,2026-07-08T02:28:00+00:00,US-Northeast,datacenter,chrome
S-00154,A-0043,DEV-013,IPC-58,2026-07-09T15:21:00+00:00,2026-07-09T17:07:00+00:00,US-Midwest,public_wifi,mobile_app
S-00155,A-0043,DEV-013,IPC-81,2026-07-09T23:04:00+00:00,2026-07-10T00:01:00+00:00,US-Midwest,residential,firefox
S-00156,A-0043,DEV-013,IPC-36,2026-07-09T21:06:00+00:00,2026-07-09T22:38:00+00:00,US-Midwest,mobile,chrome
S-00157,A-0044,DEV-013,IPC-81,2026-07-09T20:37:00+00:00,2026-07-09T21:02:00+00:00,APAC,mobile,safari
S-00158,A-0044,DEV-013,IPC-51,2026-07-08T16:02:00+00:00,2026-07-08T18:22:00+00:00,APAC,residential,chrome
S-00159,A-0045,DEV-013,IPC-46,2026-07-07T21:28:00+00:00,2026-07-07T21:37:00+00:00,EU-West,public_wifi,mobile_app
S-00160,A-0045,DEV-013,IPC-44,2026-07-08T21:36:00+00:00,2026-07-08T22:34:00+00:00,EU-West,residential,mobile_app
S-00161,A-0045,DEV-013,IPC-74,2026-07-08T05:59:00+00:00,2026-07-08T08:05:00+00:00,EU-West,datacenter,safari
S-00162,A-0046,DEV-013,IPC-33,2026-07-10T03:26:00+00:00,2026-07-10T06:18:00+00:00,US-South,residential,mobile_app
S-00163,A-0046,DEV-013,IPC-11,2026-07-08T14:50:00+00:00,2026-07-08T16:23:00+00:00,US-South,datacenter,firefox
S-00164,A-0046,DEV-013,IPC-83,2026-07-07T20:46:00+00:00,2026-07-07T22:20:00+00:00,US-South,residential,mobile_app
S-00165,A-0047,DEV-013,IPC-40,2026-07-09T22:09:00+00:00,2026-07-10T00:24:00+00:00,US-West,residential,chrome
S-00166,A-0047,DEV-013,IPC-58,2026-07-08T17:09:00+00:00,2026-07-08T17:33:00+00:00,US-West,public_wifi,safari
S-00167,A-0047,DEV-013,IPC-93,2026-07-10T04:35:00+00:00,2026-07-10T06:45:00+00:00,US-West,residential,chrome
S-00168,A-0048,DEV-X02,IPC-X01,2026-07-11T13:33:00+00:00,2026-07-11T16:29:00+00:00,US-South,residential,firefox
S-00169,A-0048,DEV-016,IPC-X01,2026-07-12T08:11:00+00:00,2026-07-12T11:01:00+00:00,US-South,residential,chrome
S-00170,A-0049,DEV-018,IPC-X01,2026-07-09T18:26:00+00:00,2026-07-09T19:56:00+00:00,US-Northeast,mobile,firefox
S-00171,A-0049,DEV-018,IPC-X01,2026-07-10T14:28:00+00:00,2026-07-10T14:51:00+00:00,US-Northeast,datacenter,firefox
S-00172,A-0049,DEV-X07,IPC-X01,2026-07-09T16:07:00+00:00,2026-07-09T19:07:00+00:00,US-Northeast,public_wifi,chrome
S-00173,A-0050,DEV-X02,IPC-X01,2026-07-09T22:29:00+00:00,2026-07-09T23:47:00+00:00,US-Midwest,residential,safari
S-00174,A-0050,DEV-019,IPC-X01,2026-07-09T09:26:00+00:00,2026-07-09T11:59:00+00:00,US-Midwest,datacenter,firefox
S-00175,A-0050,DEV-019,IPC-X01,2026-07-10T06:49:00+00:00,2026-07-10T06:57:00+00:00,US-Midwest,public_wifi,firefox
S-00176,A-0050,DEV-019,IPC-X01,2026-07-10T16:27:00+00:00,2026-07-10T18:34:00+00:00,US-Midwest,datacenter,firefox
S-00177,A-0051,DEV-019,IPC-X01,2026-07-09T21:21:00+00:00,2026-07-09T23:20:00+00:00,APAC,mobile,firefox
S-00178,A-0051,DEV-X07,IPC-X01,2026-07-12T07:12:00+00:00,2026-07-12T08:00:00+00:00,APAC,mobile,firefox
S-00179,A-0051,DEV-X07,IPC-X01,2026-07-12T01:04:00+00:00,2026-07-12T03:14:00+00:00,APAC,datacenter,firefox
S-00180,A-0051,DEV-019,IPC-X01,2026-07-11T23:15:00+00:00,2026-07-12T00:26:00+00:00,APAC,datacenter,firefox
S-00181,A-0051,DEV-019,IPC-X01,2026-07-09T20:29:00+00:00,2026-07-09T21:26:00+00:00,APAC,public_wifi,mobile_app
S-00182,A-0052,DEV-015,IPC-78,2026-07-10T17:26:00+00:00,2026-07-10T20:02:00+00:00,EU-West,mobile,safari
S-00183,A-0052,DEV-015,IPC-36,2026-07-11T07:12:00+00:00,2026-07-11T07:41:00+00:00,EU-West,residential,mobile_app
S-00184,A-0052,DEV-015,IPC-71,2026-07-10T15:17:00+00:00,2026-07-10T16:32:00+00:00,EU-West,mobile,chrome
S-00185,A-0053,DEV-014,IPC-60,2026-07-10T10:59:00+00:00,2026-07-10T12:26:00+00:00,US-South,datacenter,chrome
S-00186,A-0053,DEV-014,IPC-85,2026-07-10T06:40:00+00:00,2026-07-10T08:35:00+00:00,US-South,residential,safari
S-00187,A-0054,DEV-019,IPC-19,2026-07-10T08:01:00+00:00,2026-07-10T08:57:00+00:00,US-West,public_wifi,chrome
S-00188,A-0054,DEV-019,IPC-57,2026-07-10T07:43:00+00:00,2026-07-10T07:52:00+00:00,US-West,datacenter,chrome
S-00189,A-0054,DEV-019,IPC-50,2026-07-12T06:58:00+00:00,2026-07-12T07:33:00+00:00,US-West,residential,mobile_app
S-00190,A-0055,DEV-014,IPC-65,2026-07-11T10:25:00+00:00,2026-07-11T12:52:00+00:00,APAC,datacenter,mobile_app
S-00191,A-0055,DEV-014,IPC-49,2026-07-10T08:02:00+00:00,2026-07-10T08:46:00+00:00,APAC,datacenter,mobile_app
S-00192,A-0055,DEV-014,IPC-95,2026-07-10T14:37:00+00:00,2026-07-10T16:05:00+00:00,APAC,residential,safari
S-00193,A-0055,DEV-014,IPC-51,2026-07-10T22:43:00+00:00,2026-07-10T23:33:00+00:00,APAC,datacenter,mobile_app
S-00194,A-0055,DEV-014,IPC-57,2026-07-09T15:12:00+00:00,2026-07-09T17:34:00+00:00,APAC,datacenter,chrome
S-00195,A-0056,DEV-014,IPC-80,2026-07-10T15:57:00+00:00,2026-07-10T18:01:00+00:00,EU-West,residential,mobile_app
S-00196,A-0056,DEV-014,IPC-50,2026-07-10T16:21:00+00:00,2026-07-10T17:19:00+00:00,EU-West,datacenter,safari
