content_id,account_id,case_id,normalized_text,content_hash,language,category,semantic_family,severity_score,safe_placeholder
CT-000143,A-0005,C-001,[template family B with minor variation],H-4170436,en,Violent Threat,THREAT_FAM_X1,0.727,Yes
CT-000144,A-0008,C-001,[event date reference],H-4637430,en,Violent Threat,THREAT_FAM_X1-P11,0.721,Yes
CT-000145,A-0003,C-001,[repeated target reference],H-7577498,en,Violent Threat,THREAT_FAM_X1-P03,0.872,Yes
CT-000146,A-0003,C-001,[target-specific grievance reference],H-8238971,en,Violent Threat,THREAT_FAM_X1-P03,0.684,Yes
CT-000147,A-0007,C-001,[generic discussion],H-0343767,es,Violent Threat,THREAT_FAM_X1-default,0.886,Yes
CT-000148,A-0002,C-001,[neutral platform activity],H-7445486,es,Violent Threat,THREAT_FAM_X1-default,0.65,Yes
CT-000149,A-0001,C-001,[non-sensitive coordination],H-6470216,en,Violent Threat,THREAT_FAM_X1-default,0.794,Yes
CT-000150,A-0007,C-001,[event date reference],H-4637430,es,Violent Threat,THREAT_FAM_X1-P11,0.948,Yes
CT-000151,A-0006,C-001,[generic discussion],H-0343767,es,Violent Threat,THREAT_FAM_X1-default,0.84,Yes
CT-000152,A-0003,C-001,[generic discussion],H-0343767,en,Violent Threat,THREAT_FAM_X1-default,0.803,Yes
CT-000153,A-0008,C-001,[neutral platform activity],H-7445486,en,Violent Threat,THREAT_FAM_X1-default,0.975,Yes
CT-000154,A-0015,C-002,[obfuscated phrase variant],H-4014421,ar,Coordinated Abuse,HARASS_FAM_X2-OBF,0.64,Yes
CT-000155,A-0026,C-002,[neutral platform activity],H-6146059,ar,Coordinated Abuse,HARASS_FAM_X2-P02,0.714,Yes
CT-000156,A-0022,C-002,[amplification request placeholder],H-2370725,fr,Coordinated Abuse,HARASS_FAM_X2-P08,0.787,Yes
CT-000157,A-0021,C-002,[neutral platform activity],H-7238637,en,Coordinated Abuse,HARASS_FAM_X2-default,0.53,Yes
CT-000158,A-0010,C-002,[coordination instruction placeholder],H-8139650,en,Coordinated Abuse,HARASS_FAM_X2-P08,0.655,Yes
CT-000159,A-0018,C-002,[multilingual coded variant],H-8707435,de,Coordinated Abuse,HARASS_FAM_X2-OBF,0.553,Yes
CT-000160,A-0010,C-002,[generic discussion],H-6637739,en,Coordinated Abuse,HARASS_FAM_X2-P05,0.818,Yes
CT-000161,A-0013,C-002,[neutral platform activity],H-7238637,ar,Coordinated Abuse,HARASS_FAM_X2-default,0.824,Yes
CT-000162,A-0010,C-002,[generic discussion],H-3736475,en,Coordinated Abuse,HARASS_FAM_X2-P02,0.79,Yes
CT-000163,A-0024,C-002,[neutral platform activity],H-7238637,es,Coordinated Abuse,HARASS_FAM_X2-default,0.775,Yes
CT-000164,A-0014,C-002,[generic discussion],H-0351779,es,Coordinated Abuse,HARASS_FAM_X2-default,0.731,Yes
CT-000165,A-0011,C-002,[symbol-substituted phrase],H-5181675,de,Coordinated Abuse,HARASS_FAM_X2-OBF,0.684,Yes
CT-000166,A-0022,C-002,[generic discussion],H-0351779,fr,Coordinated Abuse,HARASS_FAM_X2-default,0.512,Yes
CT-000167,A-0024,C-002,[neutral platform activity],H-7238637,es,Coordinated Abuse,HARASS_FAM_X2-default,0.754,Yes
CT-000168,A-0010,C-002,[non-sensitive coordination],H-6263367,en,Coordinated Abuse,HARASS_FAM_X2-default,0.513,Yes
CT-000169,A-0012,C-002,[continued focus on same fictional target],H-2145128,fr,Coordinated Abuse,HARASS_FAM_X2-P03,0.521,Yes
CT-000170,A-0010,C-002,[continued focus on same fictional target],H-2145128,en,Coordinated Abuse,HARASS_FAM_X2-P03,0.515,Yes
CT-000171,A-0023,C-002,[generic discussion],H-6637739,de,Coordinated Abuse,HARASS_FAM_X2-P05,0.773,Yes
CT-000172,A-0023,C-002,[amplification request placeholder],H-2370725,de,Coordinated Abuse,HARASS_FAM_X2-P08,0.551,Yes
CT-000173,A-0014,C-002,[coordination instruction placeholder],H-8139650,es,Coordinated Abuse,HARASS_FAM_X2-P08,0.763,Yes
CT-000174,A-0023,C-002,[neutral platform activity],H-7238637,de,Coordinated Abuse,HARASS_FAM_X2-default,0.76,Yes
CT-000175,A-0022,C-002,[repeated target reference],H-5674485,fr,Coordinated Abuse,HARASS_FAM_X2-P03,0.681,Yes
CT-000176,A-0015,C-002,[neutral platform activity],H-7238637,ar,Coordinated Abuse,HARASS_FAM_X2-default,0.687,Yes
CT-000177,A-0010,C-002,[neutral platform activity],H-7238637,en,Coordinated Abuse,HARASS_FAM_X2-default,0.856,Yes
CT-000178,A-0011,C-002,[multilingual coded variant],H-8707435,de,Coordinated Abuse,HARASS_FAM_X2-OBF,0.843,Yes
CT-000179,A-0026,C-002,[non-sensitive coordination],H-7121329,ar,Coordinated Abuse,HARASS_FAM_X2-P02,0.571,Yes
CT-000180,A-0017,C-002,[neutral platform activity],H-7238637,de,Coordinated Abuse,HARASS_FAM_X2-default,0.697,Yes
CT-000181,A-0016,C-002,[continued focus on same fictional target],H-2145128,fr,Coordinated Abuse,HARASS_FAM_X2-P03,0.74,Yes
CT-000182,A-0025,C-002,[generic discussion],H-0351779,en,Coordinated Abuse,HARASS_FAM_X2-default,0.689,Yes
CT-000183,A-0018,C-002,[continued focus on same fictional target],H-2145128,de,Coordinated Abuse,HARASS_FAM_X2-P03,0.812,Yes
CT-000184,A-0009,C-002,[target-specific grievance reference],H-0141984,de,Coordinated Abuse,HARASS_FAM_X2-P03,0.822,Yes
CT-000185,A-0024,C-002,[non-sensitive coordination],H-7121329,es,Coordinated Abuse,HARASS_FAM_X2-P02,0.784,Yes
CT-000186,A-0016,C-002,[target-specific grievance reference],H-0141984,fr,Coordinated Abuse,HARASS_FAM_X2-P03,0.713,Yes
CT-000187,A-0026,C-002,[symbol-substituted phrase],H-5181675,ar,Coordinated Abuse,HARASS_FAM_X2-OBF,0.547,Yes
CT-000188,A-0011,C-002,[multilingual coded variant],H-8707435,de,Coordinated Abuse,HARASS_FAM_X2-OBF,0.748,Yes
CT-000189,A-0010,C-002,[obfuscated phrase variant],H-4014421,en,Coordinated Abuse,HARASS_FAM_X2-OBF,0.694,Yes
CT-000190,A-0018,C-002,[coordination instruction placeholder],H-8139650,de,Coordinated Abuse,HARASS_FAM_X2-P08,0.829,Yes
CT-000191,A-0016,C-002,[neutral platform activity],H-7238637,fr,Coordinated Abuse,HARASS_FAM_X2-default,0.858,Yes
CT-000192,A-0011,C-002,[neutral platform activity],H-7238637,de,Coordinated Abuse,HARASS_FAM_X2-default,0.596,Yes
CT-000193,A-0025,C-002,[obfuscated phrase variant],H-4014421,en,Coordinated Abuse,HARASS_FAM_X2-OBF,0.703,Yes
CT-000194,A-0011,C-002,[obfuscated phrase variant],H-4014421,de,Coordinated Abuse,HARASS_FAM_X2-OBF,0.566,Yes
CT-000195,A-0017,C-002,[generic discussion],H-6637739,de,Coordinated Abuse,HARASS_FAM_X2-P05,0.526,Yes
CT-000196,A-0024,C-002,[target-specific grievance reference],H-0141984,es,Coordinated Abuse,HARASS_FAM_X2-P03,0.835,Yes
CT-000197,A-0018,C-002,[target-specific grievance reference],H-0141984,de,Coordinated Abuse,HARASS_FAM_X2-P03,0.566,Yes
CT-000198,A-0026,C-002,[amplification request placeholder],H-2370725,ar,Coordinated Abuse,HARASS_FAM_X2-P08,0.651,Yes
CT-000199,A-0016,C-002,[non-sensitive coordination],H-7121329,fr,Coordinated Abuse,HARASS_FAM_X2-P02,0.645,Yes
CT-000200,A-0025,C-002,[non-sensitive coordination],H-6263367,en,Coordinated Abuse,HARASS_FAM_X2-default,0.76,Yes
CT-000201,A-0014,C-002,[target-specific grievance reference],H-0141984,es,Coordinated Abuse,HARASS_FAM_X2-P03,0.677,Yes
CT-000202,A-0018,C-002,[neutral platform activity],H-7238637,de,Coordinated Abuse,HARASS_FAM_X2-default,0.722,Yes
CT-000203,A-0024,C-002,[research handoff placeholder],H-3713127,es,Coordinated Abuse,HARASS_FAM_X2-P08,0.631,Yes
CT-000204,A-0012,C-002,[neutral platform activity],H-7238637,fr,Coordinated Abuse,HARASS_FAM_X2-default,0.746,Yes
CT-000205,A-0026,C-002,[multilingual coded variant],H-8707435,ar,Coordinated Abuse,HARASS_FAM_X2-OBF,0.595,Yes
CT-000206,A-0017,C-002,[generic discussion],H-0351779,de,Coordinated Abuse,HARASS_FAM_X2-default,0.797,Yes
CT-000207,A-0026,C-002,[coordination instruction placeholder],H-8139650,ar,Coordinated Abuse,HARASS_FAM_X2-P08,0.787,Yes
CT-000208,A-0021,C-002,[multilingual coded variant],H-8707435,en,Coordinated Abuse,HARASS_FAM_X2-OBF,0.796,Yes
CT-000209,A-0009,C-002,[continued focus on same fictional target],H-2145128,de,Coordinated Abuse,HARASS_FAM_X2-P03,0.786,Yes
CT-000210,A-0012,C-002,[neutral platform activity],H-7238637,fr,Coordinated Abuse,HARASS_FAM_X2-default,0.792,Yes
CT-000211,A-0022,C-002,[obfuscated phrase variant],H-4014421,fr,Coordinated Abuse,HARASS_FAM_X2-OBF,0.627,Yes
CT-000212,A-0012,C-002,[symbol-substituted phrase],H-5181675,fr,Coordinated Abuse,HARASS_FAM_X2-OBF,0.849,Yes
CT-000213,A-0025,C-002,[non-sensitive coordination],H-7121329,en,Coordinated Abuse,HARASS_FAM_X2-P02,0.646,Yes
CT-000214,A-0017,C-002,[non-sensitive coordination],H-1603940,de,Coordinated Abuse,HARASS_FAM_X2-P05,0.691,Yes
CT-000215,A-0014,C-002,[amplification request placeholder],H-2370725,es,Coordinated Abuse,HARASS_FAM_X2-P08,0.649,Yes
CT-000216,A-0018,C-002,[non-sensitive coordination],H-7121329,de,Coordinated Abuse,HARASS_FAM_X2-P02,0.566,Yes
CT-000217,A-0022,C-002,[continued focus on same fictional target],H-2145128,fr,Coordinated Abuse,HARASS_FAM_X2-P03,0.729,Yes
CT-000218,A-0015,C-002,[generic discussion],H-3736475,ar,Coordinated Abuse,HARASS_FAM_X2-P02,0.732,Yes
CT-000219,A-0024,C-002,[amplification request placeholder],H-2370725,es,Coordinated Abuse,HARASS_FAM_X2-P08,0.645,Yes
CT-000220,A-0015,C-002,[non-sensitive coordination],H-6263367,ar,Coordinated Abuse,HARASS_FAM_X2-default,0.536,Yes
CT-000221,A-0012,C-002,[non-sensitive coordination],H-7121329,fr,Coordinated Abuse,HARASS_FAM_X2-P02,0.722,Yes
